Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,ChangeCompanyRate,Satisfaction
51.0,No,Travel_Rarely,2,2,Life Sciences,Male,Sales Representative,Married,10545.035714285714,No,19,4.0,1,3,4.0,2,0.25,13
37.0,No,Travel_Rarely,3,3,Life Sciences,Male,Sales Executive,Divorced,5003.0,No,12,4.0,2,17,6.0,10,0.05555555555555555,12
36.0,No,Non-Travel,10,1,Medical,Male,Sales Representative,Married,9980.0,No,22,3.0,0,1,3.0,0,1.5,14
31.0,No,Travel_Rarely,2,3,Human Resources,Female,Human Resources,Married,3978.0,No,14,3.0,0,6,0.0,0,4.142857142857143,14
37.0,No,Travel_Rarely,8,4,Life Sciences,Male,Sales Executive,Single,5986.83193277311,No,15,3.0,0,10,2.0,7,1.0909090909090908,9
38.0,No,Travel_Frequently,29,3,Medical,Female,Laboratory Technician,Married,5986.83193277311,No,13,3.0,2,10,4.0,7,4.090909090909091,12
37.0,No,Travel_Rarely,10,2,Life Sciences,Female,Research Scientist,Married,3038.0,No,21,3.0,2,8,3.0,2,3.111111111111111,14
40.0,No,Travel_Rarely,1,3,Medical,Male,Manager,Single,10475.0,Yes,14,3.0,0,37,2.0,10,0.02631578947368421,14
33.0,No,Travel_Rarely,18,3,Medical,Male,Sales Executive,Married,7104.0,No,16,3.0,0,5,2.0,2,1.1666666666666667,14
37.0,No,Travel_Rarely,5,3,Technical Degree,Male,Healthcare Representative,Divorced,9610.0,Yes,13,3.0,1,24,2.0,0,2.04,14
36.0,Yes,Travel_Rarely,11,2,Medical,Male,Healthcare Representative,Married,4678.0,No,15,3.0,0,15,2.0,0,5.0625,6
37.0,No,Travel_Rarely,3,3,Technical Degree,Male,Research Scientist,Single,10609.0,No,12,3.0,0,10,2.0,0,4.090909090909091,15
37.0,No,Travel_Rarely,1,4,Life Sciences,Female,Research Scientist,Married,5986.83193277311,No,12,3.0,1,4,2.0,3,1.2,15
46.0,No,Travel_Rarely,1,2,Medical,Female,Research Scientist,Married,16872.0,No,14,3.0,1,17,2.0,1,2.0555555555555554,9
37.0,No,Travel_Frequently,2,1,Human Resources,Female,Human Resources,Single,7525.0,No,21,3.0,0,10,2.0,1,1.0909090909090908,14
48.0,No,Travel_Rarely,22,2,Marketing,Female,Sales Executive,Married,6439.0,No,13,3.0,1,8,2.0,7,0.1111111111111111,13
50.0,No,Non-Travel,10,3,Life Sciences,Male,Healthcare Representative,Married,17924.0,Yes,13,3.0,1,15,3.0,8,7.0625,15
34.0,No,Travel_Frequently,2,1,Medical,Male,Manager,Single,9547.0,No,15,3.0,0,31,2.0,7,7.03125,12
37.0,No,Travel_Rarely,29,2,Life Sciences,Male,Research Scientist,Divorced,5986.83193277311,No,11,3.0,1,19,3.0,4,2.05,12
55.0,No,Non-Travel,2,4,Life Sciences,Male,Sales Representative,Single,10545.035714285714,Yes,21,3.0,0,7,3.0,2,3.125,16
45.0,Yes,Travel_Rarely,23,3,Medical,Male,Research Scientist,Single,16704.0,No,13,3.0,0,6,2.0,2,0.14285714285714285,11
35.0,No,Travel_Rarely,7,2,Medical,Male,Manufacturing Director,Married,1951.0,No,12,3.0,1,13,3.0,10,1.0714285714285714,9
40.0,No,Travel_Rarely,17,2,Marketing,Male,Sales Executive,Married,2018.0,No,16,3.0,2,12,3.0,2,2.076923076923077,11
37.0,No,Travel_Rarely,10,3,Life Sciences,Male,Manager,Divorced,2235.0,No,13,3.0,1,21,3.0,6,4.045454545454546,11
47.0,No,Travel_Frequently,3,2,Life Sciences,Male,Research Director,Single,12936.0,No,15,3.0,0,10,3.0,7,3.090909090909091,17
36.0,No,Travel_Rarely,6,3,Medical,Female,Research Scientist,Divorced,7094.0,Yes,13,3.0,2,13,0.0,7,4.071428571428571,12
29.0,No,Travel_Rarely,10,1,Medical,Male,Research Scientist,Married,2804.0,No,17,3.0,1,3,3.0,1,0.25,13
37.0,No,Travel_Rarely,1,3,Medical,Male,Research Scientist,Married,5914.0,No,13,3.0,1,5,3.0,2,4.166666666666667,12
24.0,No,Travel_Rarely,5,4,Life Sciences,Male,Sales Executive,Married,3597.0,Yes,21,3.0,1,20,2.0,13,5.0476190476190474,13
39.0,No,Non-Travel,4,3,Human Resources,Male,Human Resources,Married,6472.0,No,19,3.0,1,10,2.0,2,6.090909090909091,11
24.0,No,Travel_Rarely,11,2,Medical,Male,Healthcare Representative,Married,2725.0,Yes,12,3.0,0,6,3.0,5,1.1428571428571428,13
41.0,No,Travel_Rarely,9,3,Life Sciences,Female,Laboratory Technician,Married,19545.0,No,18,3.0,0,8,0.0,0,4.111111111111111,13
43.0,No,Travel_Rarely,25,2,Life Sciences,Male,Research Director,Married,9228.730569948186,No,17,3.0,1,19,2.0,8,3.05,11
34.0,No,Travel_Frequently,26,4,Marketing,Female,Sales Executive,Married,5986.83193277311,No,18,3.0,0,4,3.0,2,0.2,14
45.0,No,Travel_Frequently,15,2,Life Sciences,Male,Laboratory Technician,Single,5210.0,Yes,12,3.0,0,10,2.0,5,0.09090909090909091,16
58.0,No,Travel_Rarely,11,3,Life Sciences,Male,Manufacturing Director,Single,10545.035714285714,No,13,3.0,0,6,2.0,5,1.1428571428571428,12
37.0,No,Travel_Rarely,2,2,Medical,Male,Laboratory Technician,Married,6502.0,No,14,3.0,1,9,2.0,1,4.1,11
24.0,No,Travel_Rarely,6,2,Medical,Male,Manufacturing Director,Divorced,4617.0,No,20,3.0,2,7,2.0,2,6.125,14
38.0,Yes,Travel_Frequently,26,4,Marketing,Male,Sales Executive,Single,5986.83193277311,No,15,3.0,0,9,2.0,3,5.1,11
31.0,Yes,Non-Travel,3,3,Life Sciences,Male,Laboratory Technician,Married,9936.0,No,12,3.0,0,10,2.0,2,4.090909090909091,12
55.0,No,Travel_Frequently,5,2,Life Sciences,Male,Laboratory Technician,Single,10976.0,Yes,14,3.0,0,6,4.0,4,0.14285714285714285,16
44.0,No,Travel_Rarely,2,2,Marketing,Male,Sales Executive,Divorced,2559.0,No,12,3.0,2,8,0.0,4,7.111111111111111,15
60.0,Yes,Travel_Rarely,2,2,Other,Male,Laboratory Technician,Single,10545.035714285714,Yes,15,4.0,0,7,2.0,0,6.125,14
29.0,No,Travel_Rarely,2,1,Life Sciences,Female,Manufacturing Director,Divorced,3839.7428571428572,No,17,4.0,2,7,5.0,7,1.125,17
53.0,No,Travel_Rarely,24,3,Medical,Male,Healthcare Representative,Single,17584.0,No,19,3.0,0,10,2.0,9,1.0909090909090908,11
27.0,No,Non-Travel,1,2,Life Sciences,Male,Laboratory Technician,Married,4621.0,No,12,3.0,1,4,4.0,2,1.2,13
37.0,No,Travel_Rarely,23,4,Medical,Female,Laboratory Technician,Married,5855.0,No,16,3.0,1,6,2.0,4,0.14285714285714285,12
37.0,No,Travel_Rarely,2,3,Life Sciences,Male,Sales Executive,Single,3564.0,Yes,11,3.0,0,5,3.0,4,1.1666666666666667,14
34.0,No,Travel_Rarely,6,3,Medical,Female,Manager,Married,2742.0,No,13,3.0,0,21,2.0,12,7.045454545454546,13
31.0,No,Travel_Rarely,2,4,Life Sciences,Male,Manager,Married,4197.0,No,14,3.0,0,21,2.0,15,0.045454545454545456,16
37.0,No,Travel_Frequently,1,2,Life Sciences,Male,Research Scientist,Married,10048.0,No,24,3.0,1,13,5.0,9,0.07142857142857142,12
45.0,No,Non-Travel,9,4,Life Sciences,Male,Research Scientist,Single,9228.730569948186,Yes,16,4.0,0,3,1.0,2,0.25,14
51.0,No,Travel_Rarely,9,3,Life Sciences,Female,Laboratory Technician,Divorced,4936.0,No,11,3.0,3,1,2.0,0,1.5,13
30.0,No,Travel_Rarely,4,2,Technical Degree,Male,Manager,Married,4152.0,No,11,3.0,0,22,2.0,17,1.0434782608695652,17
45.0,Yes,Travel_Rarely,8,1,Medical,Female,Laboratory Technician,Single,5006.0,Yes,11,3.0,0,5,3.0,4,1.1666666666666667,13
37.0,No,Travel_Rarely,28,3,Life Sciences,Female,Research Director,Married,6545.0,Yes,11,3.0,0,25,1.0,2,4.038461538461538,13
28.0,No,Travel_Rarely,23,3,Life Sciences,Male,Research Scientist,Divorced,2713.0,No,25,3.0,3,10,2.0,7,1.0909090909090908,10
56.0,No,Travel_Rarely,28,3,Medical,Female,Research Scientist,Single,10545.035714285714,No,12,3.0,0,18,2.0,2,4.052631578947368,16
35.0,No,Travel_Rarely,7,4,Medical,Male,Research Scientist,Married,5986.83193277311,Yes,16,3.0,0,18,2.0,0,6.052631578947368,15
35.0,No,Travel_Rarely,28,3,Life Sciences,Male,Research Director,Married,5986.83193277311,No,13,3.0,1,24,5.0,6,3.04,15
37.0,No,Travel_Rarely,9,3,Medical,Female,Research Scientist,Married,2693.0,No,16,3.0,1,5,3.0,3,1.1666666666666667,17
49.0,Yes,Travel_Rarely,3,2,Marketing,Male,Sales Representative,Married,9228.730569948186,Yes,14,3.0,0,3,2.0,2,1.25,12
29.0,No,Travel_Rarely,29,2,Medical,Male,Sales Executive,Divorced,6644.0,No,12,3.0,2,8,2.0,0,5.111111111111111,11
37.0,No,Travel_Rarely,10,4,Marketing,Male,Sales Executive,Divorced,2983.0,No,12,3.0,1,11,3.0,0,2.0833333333333335,9
34.0,Yes,Travel_Rarely,8,1,Medical,Male,Laboratory Technician,Married,2768.0,Yes,17,3.0,0,1,3.0,0,1.5,13
41.0,No,Travel_Rarely,9,2,Medical,Male,Sales Representative,Single,19189.0,No,24,3.0,0,3,3.0,2,1.25,13
58.0,No,Travel_Rarely,1,4,Medical,Female,Healthcare Representative,Single,10552.0,No,20,3.0,0,23,3.0,12,3.0416666666666665,9
40.0,No,Travel_Rarely,11,4,Medical,Female,Manager,Divorced,10435.0,No,20,3.0,1,26,2.0,9,3.037037037037037,13
38.0,No,Travel_Frequently,8,1,Life Sciences,Male,Laboratory Technician,Married,5321.0,No,19,3.0,0,1,1.0,0,1.5,19
37.0,No,Non-Travel,7,1,Medical,Female,Laboratory Technician,Divorced,5986.83193277311,No,14,3.0,3,8,6.0,3,6.111111111111111,13
60.0,No,Travel_Rarely,2,3,Technical Degree,Male,Research Scientist,Single,5405.0,No,14,3.0,0,4,1.0,2,1.2,15
45.0,Yes,Travel_Rarely,20,2,Medical,Male,Human Resources,Married,10851.0,Yes,11,3.0,0,6,2.0,1,0.14285714285714285,15
34.0,No,Travel_Rarely,2,1,Other,Female,Laboratory Technician,Divorced,6029.0,Yes,19,3.0,1,7,3.0,2,6.125,15
28.0,No,Travel_Rarely,10,4,Human Resources,Male,Human Resources,Married,4908.0,No,11,3.0,0,10,3.0,3,3.090909090909091,15
34.0,No,Travel_Rarely,1,4,Marketing,Male,Sales Executive,Divorced,2691.0,No,11,3.0,1,16,4.0,1,0.058823529411764705,16
41.0,No,Travel_Rarely,1,4,Life Sciences,Male,Research Scientist,Married,2289.0,No,17,4.0,1,9,2.0,2,9.1,13
39.0,No,Travel_Frequently,1,4,Medical,Male,Healthcare Representative,Single,12169.0,No,12,3.0,0,12,2.0,2,4.076923076923077,14
38.0,No,Travel_Frequently,8,2,Life Sciences,Male,Research Scientist,Single,4735.0,No,21,3.0,0,5,2.0,3,1.1666666666666667,18
36.0,No,Travel_Rarely,18,1,Life Sciences,Male,Sales Executive,Married,2342.0,No,11,4.0,0,6,3.0,2,2.142857142857143,12
37.0,Yes,Travel_Rarely,2,4,Life Sciences,Male,Research Director,Single,4197.0,Yes,12,3.0,0,40,2.0,15,7.024390243902439,16
25.0,No,Non-Travel,9,4,Medical,Male,Sales Executive,Divorced,4000.0,No,13,3.0,1,9,2.0,5,1.1,13
30.0,No,Travel_Frequently,5,3,Marketing,Female,Sales Representative,Divorced,4968.0,No,11,3.0,1,2,2.0,2,1.3333333333333333,14
35.0,No,Travel_Rarely,2,3,Marketing,Female,Sales Executive,Single,4859.0,No,15,3.0,0,13,3.0,7,8.071428571428571,15
47.0,Yes,Travel_Rarely,9,3,Medical,Male,Laboratory Technician,Single,9228.730569948186,Yes,11,4.0,0,4,3.0,0,2.2,11
21.0,No,Travel_Rarely,2,3,Marketing,Male,Sales Executive,Married,1232.0,Yes,11,3.0,1,17,6.0,0,4.055555555555555,15
30.0,Yes,Travel_Rarely,4,4,Medical,Male,Sales Executive,Married,9250.0,No,11,3.0,0,14,3.0,8,1.0666666666666667,14
32.0,No,Non-Travel,2,4,Life Sciences,Male,Sales Representative,Single,4087.0,Yes,18,3.0,0,3,3.0,2,1.25,13
45.0,Yes,Travel_Rarely,9,4,Marketing,Male,Sales Executive,Single,9228.730569948186,Yes,17,3.0,0,6,2.0,2,0.14285714285714285,9
34.0,No,Travel_Frequently,8,3,Medical,Female,Sales Executive,Married,2231.0,No,15,3.0,2,10,3.0,7,1.0909090909090908,18
33.0,No,Travel_Rarely,9,2,Medical,Female,Sales Executive,Married,5324.0,No,12,3.0,0,9,2.0,4,0.1,13
32.0,No,Travel_Rarely,27,5,Marketing,Female,Sales Executive,Divorced,11159.0,No,23,3.0,1,10,6.0,7,7.090909090909091,16
54.0,No,Travel_Rarely,9,3,Medical,Female,Research Director,Divorced,17426.0,No,17,4.0,1,21,6.0,16,2.0454545454545454,13
37.0,No,Travel_Rarely,8,2,Other,Male,Human Resources,Divorced,4950.0,No,13,3.0,0,19,4.0,0,2.05,13
39.0,No,Non-Travel,8,5,Life Sciences,Male,Research Director,Single,10920.0,No,11,4.0,0,9,2.0,2,3.1,13
30.0,Yes,Non-Travel,4,4,Marketing,Male,Sales Executive,Single,8474.0,Yes,12,4.0,0,8,2.0,7,1.1111111111111112,15
37.0,No,Travel_Rarely,7,4,Marketing,Female,Sales Executive,Divorced,5986.83193277311,No,14,3.0,2,8,4.0,2,7.111111111111111,13
46.0,No,Travel_Frequently,13,4,Medical,Male,Manager,Divorced,10673.0,Yes,13,3.0,2,21,5.0,9,6.045454545454546,14
30.0,No,Travel_Frequently,8,2,Life Sciences,Female,Manufacturing Director,Married,4011.0,Yes,16,4.0,1,18,2.0,0,2.0526315789473686,11
53.0,No,Travel_Rarely,2,3,Life Sciences,Male,Laboratory Technician,Single,2450.0,No,15,3.0,0,6,4.0,2,7.142857142857143,13
45.0,No,Travel_Rarely,6,2,Other,Male,Laboratory Technician,Married,2348.0,No,11,3.0,1,5,2.0,4,1.1666666666666667,14
31.0,Yes,Travel_Rarely,1,3,Technical Degree,Male,Research Scientist,Single,5582.0,No,14,4.0,0,7,2.0,2,0.125,15
47.0,No,Non-Travel,1,2,Life Sciences,Male,Research Director,Single,5467.0,Yes,12,3.0,0,15,4.0,14,1.0625,14
37.0,No,Travel_Frequently,10,4,Technical Degree,Female,Healthcare Representative,Married,5986.83193277311,No,12,4.0,0,10,3.0,7,3.090909090909091,14
37.0,Yes,Travel_Rarely,4,3,Marketing,Male,Sales Executive,Single,5986.83193277311,No,18,3.0,0,8,2.0,7,1.1111111111111112,12
49.0,No,Travel_Rarely,1,3,Life Sciences,Female,Research Director,Divorced,13964.0,No,14,3.0,2,9,2.0,7,3.1,14
38.0,No,Travel_Frequently,2,3,Life Sciences,Male,Laboratory Technician,Married,2610.0,Yes,12,3.0,1,2,2.0,2,1.3333333333333333,15
28.0,No,Travel_Rarely,3,4,Medical,Male,Research Director,Married,2028.0,Yes,16,3.0,3,21,2.0,3,3.0454545454545454,15
30.0,No,Travel_Frequently,3,2,Medical,Male,Sales Executive,Married,3839.7428571428572,No,14,3.0,1,6,2.0,0,1.1428571428571428,11
36.0,No,Travel_Rarely,7,1,Medical,Male,Research Scientist,Married,3886.0,No,11,4.0,2,2,2.0,2,1.3333333333333333,16
42.0,No,Non-Travel,3,3,Technical Degree,Male,Research Scientist,Married,17861.0,No,12,3.0,0,12,2.0,10,1.0769230769230769,13
32.0,No,Travel_Rarely,6,3,Life Sciences,Male,Healthcare Representative,Single,5986.83193277311,No,13,4.0,0,19,2.0,2,2.05,13
43.0,No,Travel_Rarely,18,5,Life Sciences,Male,Research Scientist,Married,17159.0,No,11,4.0,0,16,2.0,15,1.0588235294117647,14
59.0,No,Travel_Rarely,22,3,Life Sciences,Male,Manager,Divorced,11904.0,No,18,3.0,1,10,1.0,7,7.090909090909091,12
45.0,Yes,Travel_Rarely,9,4,Life Sciences,Male,Laboratory Technician,Single,4805.0,No,14,3.0,0,15,3.0,4,3.0625,11
36.0,Yes,Travel_Rarely,11,3,Marketing,Male,Sales Executive,Married,8847.0,No,18,3.0,2,9,2.0,8,1.1,15
51.0,No,Travel_Frequently,29,5,Life Sciences,Female,Laboratory Technician,Single,2838.0,No,11,3.0,0,10,6.0,3,1.0909090909090908,18
34.0,Yes,Travel_Rarely,15,1,Medical,Female,Manager,Married,5986.83193277311,Yes,12,3.0,0,15,2.0,6,7.0625,16
42.0,No,Travel_Rarely,7,2,Life Sciences,Female,Manufacturing Director,Married,9228.730569948186,No,24,3.0,1,10,5.0,9,1.0909090909090908,12
28.0,No,Travel_Rarely,1,5,Marketing,Male,Sales Executive,Divorced,3485.0,Yes,21,3.0,1,9,2.0,3,5.1,11
46.0,No,Travel_Rarely,2,4,Technical Degree,Male,Research Scientist,Married,9396.0,No,11,3.0,1,6,3.0,3,1.1428571428571428,12
29.0,No,Travel_Rarely,29,4,Life Sciences,Female,Sales Representative,Divorced,2974.0,No,15,3.0,2,16,2.0,8,2.0588235294117645,12
40.0,No,Travel_Rarely,1,2,Medical,Male,Laboratory Technician,Divorced,9705.0,No,12,3.0,3,1,2.0,1,1.5,12
37.0,No,Travel_Rarely,19,2,Life Sciences,Male,Research Scientist,Divorced,3875.0,No,16,3.0,2,17,2.0,0,2.0555555555555554,10
37.0,No,Travel_Rarely,2,1,Medical,Female,Research Scientist,Single,8268.0,No,13,3.0,0,6,2.0,3,7.142857142857143,11
29.0,No,Travel_Frequently,9,3,Life Sciences,Male,Manufacturing Director,Married,3839.7428571428572,Yes,20,3.0,1,17,0.0,14,1.0555555555555556,14
47.0,Yes,Non-Travel,25,4,Marketing,Male,Sales Executive,Single,11849.0,Yes,12,3.0,0,9,2.0,4,2.1,14
41.0,No,Non-Travel,25,4,Medical,Male,Healthcare Representative,Divorced,6230.0,Yes,11,3.0,1,16,3.0,10,1.0588235294117647,14
46.0,Yes,Travel_Rarely,13,5,Marketing,Female,Sales Executive,Divorced,18947.0,Yes,13,3.0,3,16,2.0,2,5.0588235294117645,10
19.0,No,Travel_Rarely,9,3,Life Sciences,Female,Research Scientist,Married,1483.0,No,18,3.0,2,5,2.0,0,6.166666666666667,13
34.0,No,Travel_Rarely,8,5,Life Sciences,Male,Laboratory Technician,Married,9725.0,No,19,3.0,3,3,2.0,2,1.25,12
30.0,No,Travel_Frequently,6,2,Medical,Female,Human Resources,Married,3839.7428571428572,No,17,3.0,0,7,2.0,2,8.125,14
35.0,Yes,Travel_Frequently,2,3,Medical,Male,Manufacturing Director,Married,8789.0,No,11,3.0,2,7,3.0,2,4.125,12
40.0,No,Travel_Rarely,29,4,Technical Degree,Female,Sales Executive,Married,19033.0,No,12,3.0,1,9,2.0,2,3.1,13
53.0,No,Travel_Rarely,8,3,Medical,Female,Manager,Divorced,4450.0,Yes,14,3.0,3,21,3.0,0,2.0454545454545454,16
45.0,No,Travel_Rarely,7,3,Medical,Male,Healthcare Representative,Single,9724.0,No,19,3.0,0,9,2.0,6,8.1,9
37.0,No,Travel_Rarely,21,4,Life Sciences,Male,Sales Executive,Single,5986.83193277311,No,12,4.0,0,10,3.0,7,1.0909090909090908,19
37.0,Yes,Travel_Rarely,9,2,Medical,Male,Sales Executive,Single,2501.0,No,16,3.0,0,9,4.0,8,1.1,16
31.0,No,Travel_Rarely,11,3,Medical,Female,Laboratory Technician,Single,5986.83193277311,No,18,3.0,0,8,2.0,2,4.111111111111111,11
46.0,No,Travel_Rarely,1,2,Life Sciences,Female,Sales Executive,Married,3423.0,Yes,14,3.0,1,18,2.0,14,1.0526315789473684,15
27.0,No,Travel_Frequently,4,4,Life Sciences,Female,Sales Executive,Married,2379.0,No,14,3.0,1,17,3.0,11,4.055555555555555,16
37.0,No,Travel_Rarely,20,3,Medical,Male,Healthcare Representative,Divorced,3230.0,Yes,18,3.0,1,24,4.0,7,2.04,9
27.0,No,Travel_Rarely,3,2,Life Sciences,Female,Laboratory Technician,Divorced,3839.7428571428572,No,22,3.0,1,7,2.0,0,5.125,12
35.0,No,Non-Travel,1,1,Medical,Male,Sales Executive,Married,5986.83193277311,No,14,3.0,1,11,3.0,10,1.0833333333333333,16
33.0,No,Travel_Rarely,28,2,Marketing,Male,Sales Executive,Married,2277.0,No,20,3.0,2,6,4.0,3,1.1428571428571428,14
31.0,No,Travel_Rarely,26,3,Life Sciences,Male,Sales Executive,Married,5915.0,No,11,4.0,1,5,2.0,3,1.1666666666666667,12
30.0,No,Travel_Rarely,8,1,Life Sciences,Male,Laboratory Technician,Married,3491.0,No,11,3.0,1,8,2.0,3,1.1111111111111112,13
33.0,No,Travel_Rarely,1,3,Marketing,Male,Sales Executive,Married,13610.0,No,11,3.0,0,15,2.0,9,9.0625,14
28.0,No,Travel_Rarely,19,4,Medical,Female,Manufacturing Director,Divorced,3839.7428571428572,Yes,11,4.0,2,9,5.0,3,9.1,13
40.0,No,Non-Travel,22,4,Other,Male,Research Scientist,Married,10932.0,Yes,15,3.0,0,16,2.0,10,1.0588235294117647,14
33.0,No,Travel_Rarely,16,4,Marketing,Male,Sales Executive,Divorced,3143.0,No,19,3.0,2,9,1.0,0,4.1,16
33.0,No,Travel_Frequently,4,3,Life Sciences,Male,Manufacturing Director,Married,4373.0,No,12,3.0,1,14,2.0,13,1.0666666666666667,14
34.0,No,Travel_Rarely,7,2,Marketing,Male,Sales Executive,Married,2932.0,Yes,18,3.0,1,35,2.0,2,7.027777777777778,14
40.0,No,Travel_Rarely,1,5,Human Resources,Male,Human Resources,Married,16823.0,Yes,11,3.0,0,14,3.0,7,4.066666666666666,14
40.0,Yes,Travel_Frequently,10,1,Medical,Male,Laboratory Technician,Divorced,13503.0,No,13,4.0,3,8,3.0,3,7.111111111111111,10
45.0,Yes,Travel_Frequently,13,4,Marketing,Male,Sales Executive,Single,9228.730569948186,Yes,17,3.0,0,24,3.0,7,6.04,13
43.0,No,Travel_Frequently,9,4,Life Sciences,Male,Laboratory Technician,Married,2437.0,No,23,3.0,2,10,4.0,2,3.090909090909091,16
34.0,No,Travel_Rarely,6,2,Technical Degree,Female,Research Scientist,Divorced,4381.0,Yes,12,3.0,2,18,3.0,9,3.0526315789473686,13
38.0,No,Travel_Rarely,1,2,Life Sciences,Female,Research Scientist,Married,13206.0,Yes,13,3.0,1,6,3.0,5,1.1428571428571428,15
38.0,No,Travel_Rarely,29,4,Life Sciences,Male,Sales Executive,Divorced,10609.0,No,19,3.0,3,8,6.0,3,8.11111111111111,13
23.0,No,Travel_Rarely,18,5,Life Sciences,Male,Manager,Single,1223.0,No,23,4.0,0,37,2.0,9,3.026315789473684,13
32.0,Yes,Travel_Rarely,7,2,Technical Degree,Female,Laboratory Technician,Married,5228.0,No,11,3.0,1,14,2.0,9,8.066666666666666,15
36.0,No,Travel_Rarely,7,1,Life Sciences,Female,Sales Representative,Married,5228.0,No,13,3.0,1,1,2.0,0,1.5,14
44.0,No,Travel_Rarely,5,2,Life Sciences,Male,Healthcare Representative,Divorced,9228.730569948186,No,12,3.0,2,6,4.0,3,1.1428571428571428,14
56.0,No,Travel_Rarely,23,2,Life Sciences,Female,Research Scientist,Married,5380.0,No,24,3.0,1,10,3.0,7,1.0909090909090908,16
37.0,No,Non-Travel,29,4,Life Sciences,Female,Manager,Married,4449.0,No,15,3.0,1,28,2.0,10,0.034482758620689655,12
38.0,No,Travel_Frequently,2,4,Medical,Female,Research Scientist,Married,5980.0,Yes,14,3.0,3,6,2.0,0,0.14285714285714285,16
37.0,No,Travel_Rarely,28,3,Technical Degree,Female,Research Scientist,Married,16799.0,No,20,3.0,1,8,5.0,4,4.111111111111111,18
33.0,Yes,Travel_Rarely,9,3,Marketing,Female,Sales Representative,Single,8224.0,No,13,3.0,0,2,3.0,2,1.3333333333333333,11
26.0,No,Travel_Rarely,3,3,Life Sciences,Female,Research Scientist,Married,2368.0,No,17,3.0,1,7,3.0,0,3.125,13
